,Zn,O,Lu,P,Na,Al,Zr,Mg,La,Pr,Ta,Li,Ca,Ge,Ga,Sm,Si,Sc,Nd,Sn,Tm,Ba,Bi,Tb,Nb,Y,Sr,Sb,In,Er,Ho,Dy,Ti,Gd,Cd,Eu,Rh,Cr,As
0,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,8.0,48.0,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,48.0,,,,12.0,8.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,48.0,,,,12.0,8.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,48.0,,,,12.0,8.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,48.0,,,,12.0,8.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,48.0,,,,12.0,8.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,48.0,,,,12.0,8.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,48.0,,,,12.0,8.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,48.0,,,,12.0,8.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,48.0,,,,12.0,8.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,48.0,,,,12.0,8.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,48.0,,,,12.0,8.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
