,data_type,garnet_formula
0,mixed,LuNa2Zn2P3O12
1,mixed,LuNa2Zn2P3O12
2,mixed,LuNa2Zn2P3O12
3,mixed,LuNa2Zn2P3O12
4,mixed,LuNa2Zn2P3O12
5,mixed,LuNa2Zn2P3O12
6,mixed,LuNa2Zn2P3O12
7,mixed,LuNa2Zn2P3O12
8,mixed,LuNa2Zn2P3O12
9,mixed,LuNa2Zn2P3O12
10,mixed,LuNa2Zn2P3O12
11,mixed,LuNa2Zn2P3O12
12,mixed,LuNa2Zn2P3O12
13,mixed,LuNa2Zn2P3O12
14,mixed,LuNa2Zn2P3O12
15,mixed,LuNa2Zn2P3O12
16,mixed,LuNa2Zn2P3O12
17,mixed,LuNa2Zn2P3O12
18,mixed,LuNa2Zn2P3O12
19,mixed,LuNa2Zn2P3O12
20,mixed,LaMg2Zr2Al3O12
21,mixed,LaMg2Zr2Al3O12
22,mixed,LaMg2Zr2Al3O12
23,mixed,LaMg2Zr2Al3O12
24,mixed,LaMg2Zr2Al3O12
25,mixed,LaMg2Zr2Al3O12
26,mixed,LaMg2Zr2Al3O12
27,mixed,LaMg2Zr2Al3O12
28,mixed,LaMg2Zr2Al3O12
29,mixed,LaMg2Zr2Al3O12
30,mixed,LaMg2Zr2Al3O12
31,mixed,LaMg2Zr2Al3O12
32,mixed,LaMg2Zr2Al3O12
33,mixed,LaMg2Zr2Al3O12
34,mixed,LaMg2Zr2Al3O12
35,mixed,LaMg2Zr2Al3O12
36,mixed,LaMg2Zr2Al3O12
37,mixed,LaMg2Zr2Al3O12
38,mixed,LaMg2Zr2Al3O12
39,mixed,LaMg2Zr2Al3O12
40,mixed,PrZr2Mg2Al3O12
41,mixed,PrZr2Mg2Al3O12
42,mixed,PrZr2Mg2Al3O12
43,mixed,PrZr2Mg2Al3O12
44,mixed,PrZr2Mg2Al3O12
45,mixed,PrZr2Mg2Al3O12
46,mixed,PrZr2Mg2Al3O12
47,mixed,PrZr2Mg2Al3O12
48,mixed,PrZr2Mg2Al3O12
49,mixed,PrZr2Mg2Al3O12
50,mixed,PrZr2Mg2Al3O12
51,mixed,PrZr2Mg2Al3O12
52,mixed,PrZr2Mg2Al3O12
53,mixed,PrZr2Mg2Al3O12
54,mixed,PrZr2Mg2Al3O12
55,mixed,PrZr2Mg2Al3O12
56,mixed,PrZr2Mg2Al3O12
57,mixed,PrZr2Mg2Al3O12
58,mixed,PrZr2Mg2Al3O12
59,mixed,PrZr2Mg2Al3O12
60,mixed,PrZr2Ta2Li3O12
61,mixed,PrZr2Ta2Li3O12
62,mixed,PrZr2Ta2Li3O12
63,mixed,PrZr2Ta2Li3O12
